datetime,open,high,low,close,volume,EMA_fast,EMA_slow,ATR,ADX,DC_upper,DC_lower,trade_type,signals
2018-04-07 05:30:00,6601.39,7070.0,6586.28,6895.8,32269.578267,7557.863079456666,8625.42298916575,619.1817709307463,36.80065281507693,9177.01,6430.0,HOLD,0
2018-04-08 05:30:00,6895.81,7109.13,6880.0,7018.0,21427.673165,7506.447548079841,8562.386793512193,591.3209301499788,36.688259593680314,9177.01,6430.0,HOLD,0
2018-04-09 05:30:00,7011.04,7185.0,6611.0,6782.72,34078.297206,7437.52111492938,8492.595938864655,590.0837208535518,36.941780382352064,9177.01,6430.0,HOLD,0
2018-04-10 05:30:00,6781.55,6890.0,6656.0,6843.9,22326.728095,7380.985770650392,8427.941196164082,564.6491693640123,37.17719254326155,9177.01,6430.0,HOLD,0
2018-04-11 05:30:00,6839.56,6990.0,6787.0,6953.79,23997.871177,7340.300459159878,8370.131345334119,538.8170858380115,37.07250457036578,9100.0,6430.0,HOLD,0
2018-04-12 05:30:00,6953.78,8012.23,6743.2,7923.0,64861.595987,7395.795653525604,8352.596782771996,590.9751511352964,34.434092007710554,8999.95,6430.0,HOLD,0
2018-04-13 05:30:00,7922.99,8233.39,7732.0,7877.41,55044.523148,7441.663686523166,8333.962006977015,584.5762117684895,32.37661054068475,8999.95,6430.0,HOLD,0
2018-04-14 05:30:00,7877.48,8186.0,7810.0,7999.01,31621.286357,7494.744287806674,8320.826634154388,569.6779109278832,30.466092035589366,8669.85,6430.0,HOLD,0
2018-04-15 05:30:00,8004.0,8429.54,7999.02,8355.0,27946.720444,7576.673403253657,8322.166766148333,559.7387744330345,29.15365316304199,8514.89,6430.0,HOLD,0
2018-04-16 05:30:00,8355.07,8419.0,7867.0,8064.92,36664.069715,7623.173079134262,8312.07865767193,559.1860048306748,27.627175733275642,8429.54,6430.0,HOLD,0
2018-04-17 05:30:00,8064.92,8173.7,7825.4,7885.02,32152.603567,7648.110881121475,8295.331259331853,544.122718771341,26.11059634441957,8429.54,6430.0,HOLD,0
2018-04-18 05:30:00,7890.96,8236.43,7868.0,8173.0,26969.04457,7698.100321014668,8290.53395504433,531.5732388591024,24.83929309553872,8429.54,6430.0,HOLD,0
2018-04-19 05:30:00,8173.99,8296.0,8080.0,8278.0,27113.847464,7753.328861870414,8290.042427395532,509.0322932263094,23.793167993141445,8429.54,6430.0,HOLD,0
2018-04-20 05:30:00,8273.84,8930.0,8177.09,8856.98,39795.337485,7858.438494073232,8312.27527338002,526.4521294244302,24.043069980491953,8429.54,6430.0,CLOSE,1
2018-04-21 05:30:00,8852.12,9035.0,8565.0,8915.31,40872.229909,7959.092923209114,8335.923694031786,522.4198344655423,24.44568365343622,8930.0,6430.0,HOLD,0
2018-04-22 05:30:00,8915.31,9020.67,8727.68,8787.02,29458.25348,8037.943120998722,8353.613745246226,506.031989146575,24.81953920688447,9035.0,6500.0,HOLD,0
2018-04-23 05:30:00,8785.7,8985.0,8745.0,8934.01,25838.114709,8123.282823760749,8376.37438268755,487.02970420753394,25.16669079222927,9035.0,6500.0,HOLD,0
2018-04-24 05:30:00,8934.0,9731.01,8922.0,9619.99,46268.790106,8265.826364354964,8425.143622582156,510.0282967641387,26.62253544572729,9035.0,6500.0,HOLD,0
2018-04-25 05:30:00,9618.96,9759.82,8730.0,8869.99,81110.037589,8323.365758225918,8442.588578559327,547.1562755667002,27.36241078503797,9731.01,6500.0,HOLD,0
2018-04-26 05:30:00,8869.99,9307.48,8651.62,9266.0,43300.304245,8413.140447918688,8474.879222537393,554.9208273119358,27.802616943877666,9759.82,6500.0,HOLD,0
2018-04-27 05:30:00,9267.03,9395.0,8889.0,8915.35,37241.347036,8460.96992906929,8492.152586359456,551.4264825039404,28.3511733856937,9759.82,6586.28,HOLD,0
